DATE,3M_JGB_Yield
2002-04-01,0.1
2002-05-01,0.08
2002-06-01,0.0899999999999999
2002-07-01,0.0899999999999999
2002-08-01,0.07
2002-09-01,0.08
2002-10-01,0.08
2002-11-01,0.08
2002-12-01,0.1
2003-01-01,0.1
2003-02-01,0.0899999999999999
2003-03-01,0.08
2003-04-01,0.08
2003-05-01,0.08
2003-06-01,0.0899999999999999
2003-07-01,0.0899999999999999
2003-08-01,0.0899999999999999
2003-09-01,0.0899999999999999
2003-10-01,0.0899999999999999
2003-11-01,0.08
2003-12-01,0.1
2004-01-01,0.0899999999999999
2004-02-01,0.0899999999999999
2004-03-01,0.08
2004-04-01,0.08
2004-05-01,0.08
2004-06-01,0.0899999999999999
2004-07-01,0.0899999999999999
2004-08-01,0.0899999999999999
2004-09-01,0.0899999999999999
2004-10-01,0.0899999999999999
2004-11-01,0.0899999999999999
2004-12-01,0.1
2005-01-01,0.1
2005-02-01,0.1
2005-03-01,0.08
2005-04-01,0.08
2005-05-01,0.08
2005-06-01,0.0899999999999999
2005-07-01,0.0899999999999999
2005-08-01,0.0899999999999999
2005-09-01,0.0899999999999999
2005-10-01,0.0899999999999999
2005-11-01,0.0899999999999999
2005-12-01,0.1
2006-01-01,0.1035999999999999
2006-02-01,0.11
2006-03-01,0.1255
2006-04-01,0.14
2006-05-01,0.27
2006-06-01,0.3499999999999999
2006-07-01,0.44
2006-08-01,0.4319999999999999
2006-09-01,0.4359999999999999
2006-10-01,0.447
2006-11-01,0.502
2006-12-01,0.54
2007-01-01,0.54
2007-02-01,0.66
2007-03-01,0.66
2007-04-01,0.65
2007-05-01,0.67
2007-06-01,0.7299999999999999
2007-07-01,0.77
2007-08-01,0.8399999999999999
2007-09-01,0.8499999999999999
2007-10-01,0.8499999999999999
2007-11-01,0.8699999999999999
2007-12-01,0.8599999999999999
2008-01-01,0.8499999999999999
2008-02-01,0.8499999999999999
2008-03-01,0.8399999999999999
2008-04-01,0.8399999999999999
2008-05-01,0.8399999999999999
2008-06-01,0.8599999999999999
2008-07-01,0.8499999999999999
2008-08-01,0.8499999999999999
2008-09-01,0.8699999999999999
2008-10-01,0.89
2008-11-01,0.88
2008-12-01,0.7399999999999999
2009-01-01,0.7199999999999999
2009-02-01,0.7099999999999999
2009-03-01,0.65
2009-04-01,0.5999999999999999
2009-05-01,0.57
2009-06-01,0.56
2009-07-01,0.55
2009-08-01,0.54
2009-09-01,0.54
2009-10-01,0.53
2009-11-01,0.51
2009-12-01,0.46
2010-01-01,0.45
2010-02-01,0.44
2010-03-01,0.4299999999999999
2010-04-01,0.4
2010-05-01,0.39
2010-06-01,0.38
2010-07-01,0.3699999999999999
2010-08-01,0.3599999999999999
2010-09-01,0.3599999999999999
2010-10-01,0.34
2010-11-01,0.34
2010-12-01,0.34
2011-01-01,0.34
2011-02-01,0.34
2011-03-01,0.33615
2011-04-01,0.3328599999999999
2011-05-01,0.3321399999999999
2011-06-01,0.3321399999999999
2011-07-01,0.3321399999999999
2011-08-01,0.3285699999999999
2011-09-01,0.32929
2011-10-01,0.32929
2011-11-01,0.32929
2011-12-01,0.32929
2012-01-01,0.33077
2012-02-01,0.3316699999999999
2012-03-01,0.3316699999999999
2012-04-01,0.3316699999999999
2012-05-01,0.3316699999999999
2012-06-01,0.33455
2012-07-01,0.32727
2012-08-01,0.32727
2012-09-01,0.32727
2012-10-01,0.3263599999999999
2012-11-01,0.31818
2012-12-01,0.30818
2013-01-01,0.2918199999999999
2013-02-01,0.2690899999999999
2013-03-01,0.25
2013-04-01,0.2281799999999999
2013-05-01,0.2281799999999999
2013-06-01,0.2281799999999999
2013-07-01,0.228
2013-08-01,0.228
2013-09-01,0.228
2013-10-01,0.221
2013-11-01,0.22
2013-12-01,0.22
2014-01-01,0.22
2014-02-01,0.2119999999999999
2014-03-01,0.2119999999999999
2014-04-01,0.2119999999999999
2014-05-01,0.2099999999999999
2014-06-01,0.2099999999999999
2014-07-01,0.2099999999999999
2014-08-01,0.2099999999999999
2014-09-01,0.2099999999999999
2014-10-01,0.192
2014-11-01,0.1819999999999999
2014-12-01,0.1789999999999999
2015-01-01,0.1729999999999999
2015-02-01,0.171
2015-03-01,0.17
2015-04-01,0.17
2015-05-01,0.1689999999999999
2015-06-01,0.1689999999999999
2015-07-01,0.1689999999999999
2015-08-01,0.1689999999999999
2015-09-01,0.1689999999999999
2015-10-01,0.1689999999999999
2015-11-01,0.1689999999999999
2015-12-01,0.1689999999999999
2016-01-01,0.1689999999999999
2016-02-01,0.098
2016-03-01,0.098
2016-04-01,0.0599999999999999
