FREQ,REF_AREA,UNIT_MEASURE,UNIT_MULT,TIME_FORMAT,BREAKS,COVERAGE,DECIMALS,TITLE_TS,TIME_PERIOD,OBS_VALUE,OBS_CONF,OBS_PRE_BREAK,OBS_STATUS
M,JP,628,0,,,,,,1946-08,2.84014,F,,A
M,JP,628,0,,,,,,1946-09,2.575713,F,,A
M,JP,628,0,,,,,,1946-10,2.419016,F,,A
M,JP,628,0,,,,,,1946-11,2.379841,F,,A
M,JP,628,0,,,,,,1946-12,2.732411,F,,A
M,JP,628,0,,,,,,1947-01,3.08498,F,,A
M,JP,628,0,,,,,,1947-02,3.427755,F,,A
M,JP,628,0,,,,,,1947-03,3.790118,F,,A
M,JP,628,0,,,,,,1947-04,3.966402,F,,A
M,JP,628,0,,,,,,1947-05,4.671541,F,,A
M,JP,628,0,,,,,,1947-06,5.43544,F,,A
M,JP,628,0,,,,,,1947-07,6.463767,F,,A
M,JP,628,0,,,,,,1947-08,6.845717,F,,A
M,JP,628,0,,,,,,1947-09,7.276635,F,,A
M,JP,628,0,,,,,,1947-10,6.992621,F,,A
M,JP,628,0,,,,,,1947-11,6.992621,F,,A
M,JP,628,0,,,,,,1947-12,7.658585,F,,A
M,JP,628,0,,,,,,1948-01,7.668378,F,,A
M,JP,628,0,,,,,,1948-02,8.255993,F,,A
M,JP,628,0,,,,,,1948-03,8.824021,F,,A
M,JP,628,0,,,,,,1948-04,9.019893,F,,A
M,JP,628,0,,,,,,1948-05,9.372462,F,,A
M,JP,628,0,,,,,,1948-06,9.55854,F,,A
M,JP,628,0,,,,,,1948-07,10.479137,F,,A
M,JP,628,0,,,,,,1948-08,11.654368,F,,A
M,JP,628,0,,,,,,1948-09,11.654368,F,,A
M,JP,628,0,,,,,,1948-10,11.262624,F,,A
M,JP,628,0,,,,,,1948-11,11.752304,F,,A
M,JP,628,0,,,,,,1948-12,12.339919,F,,A
M,JP,628,0,,,,,,1949-01,12.927534,F,,A
M,JP,628,0,,,,,,1949-02,13.221342,F,,A
M,JP,628,0,,,,,,1949-03,13.613085,F,,A
M,JP,628,0,,,,,,1949-04,13.711021,F,,A
M,JP,628,0,,,,,,1949-05,13.906893,F,,A
M,JP,628,0,,,,,,1949-06,13.417213,F,,A
M,JP,628,0,,,,,,1949-07,13.711021,F,,A
M,JP,628,0,,,,,,1949-08,13.711021,F,,A
M,JP,628,0,,,,,,1949-09,13.613085,F,,A
M,JP,628,0,,,,,,1949-10,13.221342,F,,A
M,JP,628,0,,,,,,1949-11,12.731662,F,,A
M,JP,628,0,,,,,,1949-12,13.02547,F,,A
M,JP,628,0,,,,,,1950-01,13.221342,F,,A
M,JP,628,0,,,,,,1950-02,12.633726,F,,A
M,JP,628,0,,,,,,1950-03,12.339919,F,,A
M,JP,628,0,,,,,,1950-04,12.144047,F,,A
M,JP,628,0,,,,,,1950-05,12.339919,F,,A
M,JP,628,0,,,,,,1950-06,12.046111,F,,A
M,JP,628,0,,,,,,1950-07,12.339919,F,,A
M,JP,628,0,,,,,,1950-08,12.633726,F,,A
M,JP,628,0,,,,,,1950-09,12.633726,F,,A
M,JP,628,0,,,,,,1950-10,12.339919,F,,A
M,JP,628,0,,,,,,1950-11,12.339919,F,,A
M,JP,628,0,,,,,,1950-12,12.927534,F,,A
M,JP,628,0,,,,,,1951-01,13.613085,F,,A
M,JP,628,0,,,,,,1951-02,14.2007,F,,A
M,JP,628,0,,,,,,1951-03,14.494508,F,,A
M,JP,628,0,,,,,,1951-04,14.592444,F,,A
M,JP,628,0,,,,,,1951-05,14.494508,F,,A
M,JP,628,0,,,,,,1951-06,14.396572,F,,A
M,JP,628,0,,,,,,1951-07,14.396572,F,,A
M,JP,628,0,,,,,,1951-08,15.082123,F,,A
M,JP,628,0,,,,,,1951-09,15.180059,F,,A
M,JP,628,0,,,,,,1951-10,15.375931,F,,A
M,JP,628,0,,,,,,1951-11,15.375931,F,,A
M,JP,628,0,,,,,,1951-12,15.375931,F,,A
M,JP,628,0,,,,,,1952-01,15.473866,F,,A
M,JP,628,0,,,,,,1952-02,15.375931,F,,A
M,JP,628,0,,,,,,1952-03,15.375931,F,,A
M,JP,628,0,,,,,,1952-04,15.473866,F,,A
M,JP,628,0,,,,,,1952-05,15.277995,F,,A
M,JP,628,0,,,,,,1952-06,15.375931,F,,A
M,JP,628,0,,,,,,1952-07,15.571802,F,,A
M,JP,628,0,,,,,,1952-08,15.571802,F,,A
M,JP,628,0,,,,,,1952-09,15.571802,F,,A
M,JP,628,0,,,,,,1952-10,15.571802,F,,A
M,JP,628,0,,,,,,1952-11,15.473866,F,,A
M,JP,628,0,,,,,,1952-12,15.375931,F,,A
M,JP,628,0,,,,,,1953-01,15.767674,F,,A
M,JP,628,0,,,,,,1953-02,15.963546,F,,A
M,JP,628,0,,,,,,1953-03,15.963546,F,,A
M,JP,628,0,,,,,,1953-04,16.061482,F,,A
M,JP,628,0,,,,,,1953-05,15.963546,F,,A
M,JP,628,0,,,,,,1953-06,16.159418,F,,A
M,JP,628,0,,,,,,1953-07,16.551161,F,,A
M,JP,628,0,,,,,,1953-08,16.747033,F,,A
M,JP,628,0,,,,,,1953-09,16.747033,F,,A
M,JP,628,0,,,,,,1953-10,17.236712,F,,A
M,JP,628,0,,,,,,1953-11,17.04084,F,,A
M,JP,628,0,,,,,,1953-12,17.04084,F,,A
M,JP,628,0,,,,,,1954-01,17.334648,F,,A
M,JP,628,0,,,,,,1954-02,17.53052,F,,A
M,JP,628,0,,,,,,1954-03,17.53052,F,,A
M,JP,628,0,,,,,,1954-04,17.628455,F,,A
M,JP,628,0,,,,,,1954-05,17.432584,F,,A
M,JP,628,0,,,,,,1954-06,17.628455,F,,A
M,JP,628,0,,,,,,1954-07,17.726391,F,,A
M,JP,628,0,,,,,,1954-08,17.726391,F,,A
M,JP,628,0,,,,,,1954-09,17.628455,F,,A
M,JP,628,0,,,,,,1954-10,17.824327,F,,A
M,JP,628,0,,,,,,1954-11,17.432584,F,,A
M,JP,628,0,,,,,,1954-12,17.334648,F,,A
M,JP,628,0,,,,,,1955-01,17.53052,F,,A
M,JP,628,0,,,,,,1955-02,17.53052,F,,A
M,JP,628,0,,,,,,1955-03,17.334648,F,,A
M,JP,628,0,,,,,,1955-04,17.53052,F,,A
M,JP,628,0,,,,,,1955-05,17.334648,F,,A
M,JP,628,0,,,,,,1955-06,17.334648,F,,A
M,JP,628,0,,,,,,1955-07,17.236712,F,,A
M,JP,628,0,,,,,,1955-08,17.334648,F,,A
M,JP,628,0,,,,,,1955-09,17.53052,F,,A
M,JP,628,0,,,,,,1955-10,17.53052,F,,A
M,JP,628,0,,,,,,1955-11,17.138776,F,,A
M,JP,628,0,,,,,,1955-12,17.04084,F,,A
M,JP,628,0,,,,,,1956-01,17.138776,F,,A
M,JP,628,0,,,,,,1956-02,17.334648,F,,A
M,JP,628,0,,,,,,1956-03,17.334648,F,,A
M,JP,628,0,,,,,,1956-04,17.432584,F,,A
M,JP,628,0,,,,,,1956-05,17.334648,F,,A
M,JP,628,0,,,,,,1956-06,17.628455,F,,A
M,JP,628,0,,,,,,1956-07,17.334648,F,,A
M,JP,628,0,,,,,,1956-08,17.432584,F,,A
M,JP,628,0,,,,,,1956-09,17.53052,F,,A
M,JP,628,0,,,,,,1956-10,17.628455,F,,A
M,JP,628,0,,,,,,1956-11,17.334648,F,,A
M,JP,628,0,,,,,,1956-12,17.53052,F,,A
M,JP,628,0,,,,,,1957-01,17.726391,F,,A
M,JP,628,0,,,,,,1957-02,17.726391,F,,A
M,JP,628,0,,,,,,1957-03,17.726391,F,,A
M,JP,628,0,,,,,,1957-04,17.824327,F,,A
M,JP,628,0,,,,,,1957-05,18.020199,F,,A
M,JP,628,0,,,,,,1957-06,17.922263,F,,A
M,JP,628,0,,,,,,1957-07,18.118135,F,,A
M,JP,628,0,,,,,,1957-08,18.216071,F,,A
M,JP,628,0,,,,,,1957-09,18.118135,F,,A
M,JP,628,0,,,,,,1957-10,18.118135,F,,A
M,JP,628,0,,,,,,1957-11,17.824327,F,,A
M,JP,628,0,,,,,,1957-12,17.824327,F,,A
M,JP,628,0,,,,,,1958-01,17.824327,F,,A
M,JP,628,0,,,,,,1958-02,17.726391,F,,A
M,JP,628,0,,,,,,1958-03,17.628455,F,,A
M,JP,628,0,,,,,,1958-04,17.726391,F,,A
M,JP,628,0,,,,,,1958-05,17.726391,F,,A
M,JP,628,0,,,,,,1958-06,17.922263,F,,A
M,JP,628,0,,,,,,1958-07,17.824327,F,,A
M,JP,628,0,,,,,,1958-08,18.020199,F,,A
M,JP,628,0,,,,,,1958-09,17.922263,F,,A
M,JP,628,0,,,,,,1958-10,18.118135,F,,A
M,JP,628,0,,,,,,1958-11,17.922263,F,,A
M,JP,628,0,,,,,,1958-12,17.824327,F,,A
M,JP,628,0,,,,,,1959-01,17.922263,F,,A
M,JP,628,0,,,,,,1959-02,17.824327,F,,A
M,JP,628,0,,,,,,1959-03,17.824327,F,,A
M,JP,628,0,,,,,,1959-04,18.020199,F,,A
M,JP,628,0,,,,,,1959-05,17.824327,F,,A
M,JP,628,0,,,,,,1959-06,18.020199,F,,A
M,JP,628,0,,,,,,1959-07,18.020199,F,,A
M,JP,628,0,,,,,,1959-08,18.216071,F,,A
M,JP,628,0,,,,,,1959-09,18.118135,F,,A
M,JP,628,0,,,,,,1959-10,18.314007,F,,A
M,JP,628,0,,,,,,1959-11,18.216071,F,,A
M,JP,628,0,,,,,,1959-12,18.216071,F,,A
M,JP,628,0,,,,,,1960-01,18.509878,F,,A
M,JP,628,0,,,,,,1960-02,18.509878,F,,A
M,JP,628,0,,,,,,1960-03,18.509878,F,,A
M,JP,628,0,,,,,,1960-04,18.607814,F,,A
M,JP,628,0,,,,,,1960-05,18.70575,F,,A
M,JP,628,0,,,,,,1960-06,18.70575,F,,A
M,JP,628,0,,,,,,1960-07,18.70575,F,,A
M,JP,628,0,,,,,,1960-08,18.70575,F,,A
M,JP,628,0,,,,,,1960-09,18.901622,F,,A
M,JP,628,0,,,,,,1960-10,18.999558,F,,A
M,JP,628,0,,,,,,1960-11,18.70575,F,,A
M,JP,628,0,,,,,,1960-12,18.901622,F,,A
M,JP,628,0,,,,,,1961-01,19.195429,F,,A
M,JP,628,0,,,,,,1961-02,19.293365,F,,A
M,JP,628,0,,,,,,1961-03,19.293365,F,,A
M,JP,628,0,,,,,,1961-04,19.391301,F,,A
M,JP,628,0,,,,,,1961-05,19.391301,F,,A
M,JP,628,0,,,,,,1961-06,19.391301,F,,A
M,JP,628,0,,,,,,1961-07,19.685109,F,,A
M,JP,628,0,,,,,,1961-08,19.783045,F,,A
M,JP,628,0,,,,,,1961-09,19.88098,F,,A
M,JP,628,0,,,,,,1961-10,20.37066,F,,A
M,JP,628,0,,,,,,1961-11,20.468596,F,,A
M,JP,628,0,,,,,,1961-12,20.566531,F,,A
M,JP,628,0,,,,,,1962-01,20.664467,F,,A
M,JP,628,0,,,,,,1962-02,20.566531,F,,A
M,JP,628,0,,,,,,1962-03,20.664467,F,,A
M,JP,628,0,,,,,,1962-04,20.958275,F,,A
M,JP,628,0,,,,,,1962-05,21.056211,F,,A
M,JP,628,0,,,,,,1962-06,20.958275,F,,A
M,JP,628,0,,,,,,1962-07,21.252082,F,,A
M,JP,628,0,,,,,,1962-08,21.252082,F,,A
M,JP,628,0,,,,,,1962-09,21.154147,F,,A
M,JP,628,0,,,,,,1962-10,21.252082,F,,A
M,JP,628,0,,,,,,1962-11,21.252082,F,,A
M,JP,628,0,,,,,,1962-12,21.643826,F,,A
M,JP,628,0,,,,,,1963-01,22.231441,F,,A
M,JP,628,0,,,,,,1963-02,22.329377,F,,A
M,JP,628,0,,,,,,1963-03,22.427313,F,,A
M,JP,628,0,,,,,,1963-04,22.427313,F,,A
M,JP,628,0,,,,,,1963-05,22.623185,F,,A
M,JP,628,0,,,,,,1963-06,22.819056,F,,A
M,JP,628,0,,,,,,1963-07,22.623185,F,,A
M,JP,628,0,,,,,,1963-08,22.525249,F,,A
M,JP,628,0,,,,,,1963-09,23.014928,F,,A
M,JP,628,0,,,,,,1963-10,23.014928,F,,A
M,JP,628,0,,,,,,1963-11,22.916992,F,,A
M,JP,628,0,,,,,,1963-12,23.014928,F,,A
M,JP,628,0,,,,,,1964-01,23.014928,F,,A
M,JP,628,0,,,,,,1964-02,23.014928,F,,A
M,JP,628,0,,,,,,1964-03,23.014928,F,,A
M,JP,628,0,,,,,,1964-04,23.308736,F,,A
M,JP,628,0,,,,,,1964-05,23.406671,F,,A
M,JP,628,0,,,,,,1964-06,23.308736,F,,A
M,JP,628,0,,,,,,1964-07,23.308736,F,,A
M,JP,628,0,,,,,,1964-08,23.504607,F,,A
M,JP,628,0,,,,,,1964-09,23.798415,F,,A
M,JP,628,0,,,,,,1964-10,24.190158,F,,A
M,JP,628,0,,,,,,1964-11,24.092223,F,,A
M,JP,628,0,,,,,,1964-12,24.092223,F,,A
M,JP,628,0,,,,,,1965-01,24.581902,F,,A
M,JP,628,0,,,,,,1965-02,24.483966,F,,A
M,JP,628,0,,,,,,1965-03,24.679838,F,,A
M,JP,628,0,,,,,,1965-04,25.169517,F,,A
M,JP,628,0,,,,,,1965-05,25.071581,F,,A
M,JP,628,0,,,,,,1965-06,24.973645,F,,A
M,JP,628,0,,,,,,1965-07,24.875709,F,,A
M,JP,628,0,,,,,,1965-08,24.973645,F,,A
M,JP,628,0,,,,,,1965-09,25.365389,F,,A
M,JP,628,0,,,,,,1965-10,25.659196,F,,A
M,JP,628,0,,,,,,1965-11,25.463325,F,,A
M,JP,628,0,,,,,,1965-12,25.56126,F,,A
M,JP,628,0,,,,,,1966-01,25.855068,F,,A
M,JP,628,0,,,,,,1966-02,26.05094,F,,A
M,JP,628,0,,,,,,1966-03,26.05094,F,,A
M,JP,628,0,,,,,,1966-04,26.442683,F,,A
M,JP,628,0,,,,,,1966-05,26.246812,F,,A
M,JP,628,0,,,,,,1966-06,26.246812,F,,A
M,JP,628,0,,,,,,1966-07,26.344747,F,,A
M,JP,628,0,,,,,,1966-08,26.148876,F,,A
M,JP,628,0,,,,,,1966-09,26.540619,F,,A
M,JP,628,0,,,,,,1966-10,26.736491,F,,A
M,JP,628,0,,,,,,1966-11,26.442683,F,,A
M,JP,628,0,,,,,,1966-12,26.736491,F,,A
M,JP,628,0,,,,,,1967-01,27.030298,F,,A
M,JP,628,0,,,,,,1967-02,27.128234,F,,A
M,JP,628,0,,,,,,1967-03,27.22617,F,,A
M,JP,628,0,,,,,,1967-04,27.324106,F,,A
M,JP,628,0,,,,,,1967-05,27.030298,F,,A
M,JP,628,0,,,,,,1967-06,26.932363,F,,A
M,JP,628,0,,,,,,1967-07,26.932363,F,,A
M,JP,628,0,,,,,,1967-08,27.128234,F,,A
M,JP,628,0,,,,,,1967-09,27.617914,F,,A
M,JP,628,0,,,,,,1967-10,28.009657,F,,A
M,JP,628,0,,,,,,1967-11,27.911721,F,,A
M,JP,628,0,,,,,,1967-12,28.205529,F,,A
M,JP,628,0,,,,,,1968-01,28.499336,F,,A
M,JP,628,0,,,,,,1968-02,28.597272,F,,A
M,JP,628,0,,,,,,1968-03,28.597272,F,,A
